,restaurant_name,about,address,price_range,specialty,special_diets,meals,review_1,reviewer_1,review_2,reviewer_2,review_3,reviewer_3,review_4,reviewer_4,review_5,reviewer_5,review_6,reviewer_6,review_7,reviewer_7,review_8,reviewer_8,review_9,reviewer_9,review_10,reviewer_10,review_11,reviewer_11,review_12,reviewer_12,review_13,reviewer_13,review_14,reviewer_14,review_15,reviewer_15,review_16,reviewer_16,review_17,reviewer_17,review_18,reviewer_18,review_19,reviewer_19,review_20,reviewer_20
0,"China Blue by Jereme Leung, Pasay","Elegant and sophisticated yet warm and welcoming, China Blue by Jereme Leung offers a modern interpretation of traditional Chinese cuisine, tailored by celebrity master chef Jereme Leung. The restaurant also features glittering blue chandeliers as the focal point in the main dining area, floor-to-ceiling glass windows with views of the Manila Bay in the horizon, and private dining rooms that can seat from 8 to 18 guests - ideal for business lunches or special occasions.","Conrad Manila, Seaside Boulevard corner Coral Way Mall of Asia Complex, Pasay, Luzon 1300 Philippines",No Data,No Data,No Data,No Data,Simple lunch, joysW4940ZP1 review,Birthday Celebration, lincolns3751 review,Still PRIMO in the New Normal, merrily20202 reviews,Meeting with a few good friends, 279rtw1 review,9th Monthsary ⭐, irenegiselleo1 review,Birthday celebration, 555steffic1 review,Lunch, mhel0d1 review,Weekend Lunch, Deedeesy221 review,Weekend Lunch, Zephyrsam12 reviews,Lunch, Ssmaunahan1 review,Seaside Date, obethf20211 review,A WORLD CLASS RESTAURANT WITH SCRUMPTIOUS MENU, T9982FLanneb1 review,Birthday Lunch, E1969QAjeanc1 review,Event Food tasting, lourminao1 review,Good food and nice service, aedc_151 review,Lunch with friends, Jyamzon11 review,Dinner date, F6002IN_b1 review,Well-Cherished New Year Celebration, elisediana1 review,new year eve countdown 2021, juliantih20201 review,A Worthy Place for a Golden Birthday Dinner, laopc5062 reviews
1,"Red Lantern, Paranaque",No Data,"1 Aseana Avenue, Entertainment City Entertainment City, Solaire Resort & Casino, Paranaque, Luzon 1701 Philippines",No Data,"Chinese, Asian, Healthy",No Data,"Lunch, Dinner",Very accommodating and good service, Trip416291102651 review,Lunch at Red Lantern, Guill C1 review,Slow service, JESSICA L7 reviews,Excellent service, 414ajg1 review,Our experience in Red lantern, raizariguera2 reviews,Awesome food and amazing service, 568kathp1 review,Dinner with hubby, 312mamye4 reviews,About Service and Food, Kelseyangelika1 review,Catching up with very good friends, buddyy20211 review,Chinese Lunching in Solaire, iamvhinoy72 reviews,Birthday Celebration!, jadelN9250OX1 review,Birthday Celebration, mhecyua1 review,Perfect but needs improvement, heyitsmetein1 review,Elegant Chinese, Deng D102 reviews,Thank you ❣️, Tephagalvante1 review,5/5, X1782LVmatthewa1 review,Great food and ambiance, Jasmineember1 review,Fantastic food and experience, Justinembr231 review,Solairerrific Lunch at Red Lantern, madelt20211 review,Red Lantern Review, JeremyMonreal131 review
2,"Waterside Latin Inspired Cuisine, Paranaque",No Data,"1 Asean Avenue, Entertainment City Entertainment City, Solaire Resort & Casino, Paranaque, Luzon 1701 Philippines",No Data,"Latin, Bar",No Data,"Lunch, Dinner, After-hours, Drinks",I wanted to go back soon 🙏🏻, Veronica D1 review,Fave place, Dream525387194182 reviews,The New Normal Dining!, RAYRAYLIM_PH3 reviews,Went to Waterside for a birthday, Connector2099421 review,Festive Menu , danechua2 reviews,1stdate since pandemic, kaylamonicav1 review,Staycation made even better, Millicent R3 reviews,Excellent choice! , kristinediannes1 review,Welcome back to the Philippines Tita Ben., VanesaSue1 review,Excellent! Satisfied! Most recommended! , clarisse25252 reviews,One of the Best, Isr_elite2 reviews,The food is great!The ambiance, 822mhayak1 review,Date Night ✨❤️, richelleanne_0281 review,New Normal Dining, chloejundezg1 review,Waterside, conciar3 reviews,Latin Food in the Metro, Armie S20 reviews,Disappointing, tylersY4577AX196 reviews,CocktailswithKandC, kenchezzca1 review,My friend and I celebrated, Karen Lyn S2 reviews,Pre birthday celebration, nolil6171 review
3,"Benjarong Thai Restaurant, Makati","With cuisine and a place that’s truly Thai at heart mixed with the geniality and gracious hospitality, the revamped version of Benjarong is the newest, most exciting authentic Thai dining hotspot to rediscover in Manila.","Dusit Thani Manila Ayala Centre, Makati, Luzon 1223 Philippines",No Data,No Data,No Data,No Data,"Best Thai food in Dubai , BENJARONG", Aima-Didi1 review,The original Thai fancy place, tarnP20206 reviews,Amazing restaurant!, 452chiragr1 review,The Thai Soup was great, REYSFS4 reviews,Dinner at Benjarong Restaurant in Makati, jkarunia155 reviews,Authentic Thai Food, fgmoria127 reviews,Good food but Pricy and service needs to improve, FilOz2529 reviews,👍🏻👍🏻👍🏻, DaBene200 reviews,5 star all the way Pity I couldn’t give it 10, tylersY4577AX196 reviews,Fancy and Sweet Experience, zlaywolf1 review,Great service, Ysaqueen1 review,Great Pork Omelette and Pad Thai!!, jeninavdc08161 review,Best Thai Food, bacih20201 review,Fabulous restaurant in a beautiful hotel, Cartagena2019733 reviews,A great experience in Benjarong! Outstanding Service, 914sheenal2 reviews,"A great athmosphere, good food, and great service.", antonomics1 review,Thai food at its best, Seeseej307 reviews,Great Dinner , exucalibur1 review,Benjarong , pyyahO1 review,Amazing experience!, cheskaa20201 review
4,"Lucky Noodles, Paranaque",No Data,"Aseana Avenue Entertainment City, Paranaque, Luzon 1701 Philippines",No Data,"Asian, Soups",No Data,"Breakfast, Lunch, Dinner, Brunch, After-hours, Drinks",breakfast at lucky noodles, jiminok1 review,Safest place to dine, Chengay121 review,Dinner, Zxenzhy1 review,I want to commend Sir Mhau, Paujauh14 reviews,New Year dinner., iampaolopascual1 review,christmas, gingercute17191 review,Best laksa in town and best service, albertmF5811TK21 reviews,dinner with friend, miaroses6651 review,Best Dine Here at Lucky Noodles, ZhangYasha1 review,Dinner with friends, 470susiem3 reviews,Satisfied Dinner, Nerak08282 reviews,Excellent service, chec6762 reviews,lunch is good at luckyyynoodles, mic123121 review,Family dinner, CaitJCM1 review,Lunch, carvilynb1 review,late lunch, mediatrix151 review,Mukbang.. 😁, renzyf20201 review,Brunch with friends, Phemarie F2 reviews,very nice.food and ambiance love it, marevele1241 review,The best brunch!, CynthiaC28371 review
5,"The Cellar, Taguig City",No Data,"8th Avenue Corner 35th Street, Grand Hyatt Manila, Taguig City, Luzon 1634 Philippines","PHP 400 - PHP 1,600","Wine Bar, International","Vegetarian Friendly, Vegan Options, Gluten Free Options",No Data,one of my favorite place in BGC, tibeiph1 review,Superb services with Wow factor, mannypalomo2 reviews,The Cellar at Grand Hyatt, Ruth_dolores1 review,Pleasantly Surprised, JeffM195226 reviews,Super nice place!!, Steffi6755551 review,DINNER IN CELEBRATION OF OUR ENGAGEMENT - ROMANTIC AND MEMORABLE, itsabbydeo3 reviews,The Cellar, 757abbies1 review,Best date place in Grand Hyatt, ReichD5 reviews,Excellent service, iAmMeicy2 reviews,BEST CELLAR, macherieav1 review,The Cellar, 951jadeb1 review,Stellar food  and impecable service!, paulalagos8 reviews,Date Night at The Cellar, zyratinio881 review,Awesome Birthday Dinner!!, Sh4dowm00on1 review,What a treat!, belvo852 reviews,The Cellar, nicdaquic1 review,The Cellar, angelocH6503UL2 reviews,The Cellar, mousseee1 review,New Year's toast at The Cellar, elainevega1 review,Amazing service! , Emma Louise T3 reviews
6,"Ace Coffee Lounge, Pasig",No Data,"United Street Ace Hotel & Suites, Corner Brixton Street Kapitolyo, Ground Floor Ala Carte Area, Pasig, Luzon 1603 Philippines",No Data,No Data,No Data,"Breakfast, Lunch, Dinner",lunch, Ail Keene C2 reviews,Dinner at Ace Coffee Lounge, Fedgeebar1 review,Great Overall Experience, DeiGonzaga1 review,Ace Water Spa Semi-Holiday Visit, maryhilarys1 review,Christmas Pay Day / Treat, angela_stodomingo51 review,Team D'ace water spa., 514jimara1 review,Team D'Ace Shabu-Shabu Party, jloria9991 review,ACE Coffee Lounge, 94iaha1 review,Fettuccine Carbonara, roseller5901 review,Happy Birthday, D8618XFcindyf1 review,great foods, 918fel1 review,Birthday, Henry D1 review,avocado milkshake, Jay Kenneth L1 review,birthday celebration, Auring A1 review,GOOD SERVICE, asquaredsc1 review,Lunch time, Arlin J1 review,shabu-shabu lover, Go8283561 review,A Family Treat, Acrysta081 review,Perfect and convenient for relaxing business meetings!, Sunshine423129195536 reviews,Birthday celebration, JOERILY V1 review
7,"The Cafe, Paranaque",No Data,"Entertainment City, Paranaque, Manila Belle Avenue Hyatt Regency Manila, City of Dreams, Paranaque, Luzon 1701 Philippines","PHP 1,909 - PHP 2,625","Chinese, Japanese, International, Asian, Philippine","Vegetarian Friendly, Vegan Options, Gluten Free Options",No Data,Great value, tylersY4577AX196 reviews,Disappointing U.S. Riverfarm Steamship, insatiablepanda247345 reviews,Very good place to have team dinners, Venture61604410 reviews,Birthday Experienced, dell d9 reviews,nice place within a security, alphawong-hk1 review,One fine Dining!, Carol O6 reviews,Shocked that tobacco smoke penetrated the entire restaurant., Extraordinary4390216 reviews,Wedding Anniversary, jennydel071661 reviews,Great place to dine, rizaviajera5 reviews,Nice place to dine, monalizah548621 reviews,Staffs are very attentive and friendly, IRENE P14 reviews,Oishii  Okada Manila, curieraki2 reviews,Service Quality , jerardguanzon1 review,Better Buffet restaurants elsewhere, DeejayB9 reviews,Christmas party with co-retirees, nimfaf20191 review,Delicious buffet, 106marianm1 review,Amazing buffet., D6632YQconniec1 review,BSP Retirees Christmas party, 302myrnal1 review,BSP RETIREES CHRISTMAS PARTY, Dorin P9 reviews,Value for money buffet, waverider305 reviews
8,"Yakumi, Paranaque","Whether it's sushi, sashimi, or the freshest fish and crustaceans, Yakumi offers only the best Japanese dishes created by some of the world's top Japanese chefs. This dining destination features an expansive open kitchen that allows patrons to witness how the ingredients-sourced largely from Japan-are prepared carefully like a perfected way of life, and how they are blended together using traditional techniques and modern presentations to provide the palate an incredible experience. Let our sake sommeliers indulge you in a selection of sake specialties to complement your meal. For intimate affairs, book any of the two teppanyaki rooms and enjoy an imperial gastronomic experience in comfort and…","Aseana Avenue Entertainment City, Solaire Resort & Casino, Paranaque, Luzon 1701 Philippines",No Data,No Data,No Data,No Data,Yakumi, jaclynna20211 review,Dinner at Yakumi, 566litas1 review,Perfect Dinner at Yakumi, 576rjanj2 reviews,Yakumi Experience, abejdc09272 reviews,Lunch for 2, Vacationer6204951 review,Great food!, H6976UGkyleg1 review,Yakumi Date, JusTan301 review,Excellent food and service at Yakumi, Brooke_Phils2 reviews,Amazing Food!!, jethroa20211 review,Excellent staff and food, mikayla88881 review,Best Japanese Restaurant to visit!, 425arlenet1 review,Superb Food, L5786GWantond1 review,Dessert, 996katb1 review,Great food! Staff is so friendly..., senmorvlog1 review,Emperor Senora and Yaya year ender 2020, nataliebA4849GT1 review,yearender dinner, gerardoe254 reviews,Love the food and experience, Jude Y3 reviews,High Quality Food Experience, msaishakristine1 review,Dining at Yakumi, Jenny T4 reviews,1st Yakumi Solaire Experience, abejdc09272 reviews
9,"Fresh International Buffet, Paranaque","Your ultimate buffet experience, redefined. The journey to taste the world's finest cuisines begins anew as we make your gourmet feast as safe and enjoyable as possible. All the things you miss about Fresh are back with your utmost safety in mind. Continue enjoying our savory rotisserie carvings and lavish seafood selections prepared and cooked a la minute by our team of talented chefs. Explore a whole new world of flavors with pre-portioned dishes made fresh every day for convenient grab-and-go dining.","1 Aseana Avenue Entertainment City, Solaire Resort & Casino, Paranaque, Luzon 1701 Philippines",No Data,No Data,No Data,No Data,One of the best services during pandemic, iangabrielv1 review,Wedding anniv, KittyCairi1 review,Lunch w Fam, R2267NThenrys1 review,Lunch Fresh During my Sons Grad, alinemQ8739XI1 review,Graduation Lunch with my family, carlomG334SB1 review,Survey for Fresh at Solaire, Gavincruzzz1 review,Wonderful Lunch, dangarbuesaaa1 review,Seafood night Fridays!, O9654WTcharliew1 review,Great food Great service, 702jct1 review,One of the best buffets, Drew S1 review,Lunch at FRESH, cnew08862 reviews,Lunch with friends, Meia2ne81 review,Fresh na fresh 😉, peebeej1 review,Lunch at fresh buffet, BryeE12 reviews,Lunch at fresh buffet, johndave0914142 reviews,Reunion, julianagQ7330DS1 review,Birthday Celebration at Solaire’s Fresh International Buffet, piageronimo3 reviews,Mother birthday, d0nit0b1 review,Great experience, krisselarbiszzzz1 review,My mom’s birthday celebration, krizzaa20211 review
